# JLPT N4 單字 繁體中文解釋（AI 翻譯，依日文與 tanos 英文解釋）
# 格式：單字<TAB>讀音<TAB>中文。單字和讀音要和 jamsinclair/n4.csv 完全一致；讀音留空代表跟單字一樣。
踏む	ふむ	踩、踏
～区	～く	～區
すっと	すっと	迅速地、輕快地；（心情）舒暢
盗む	ぬすむ	偷
大抵	たいてい	大概、通常
とうとう	とうとう	終於、到底
ガソリン	ガソリン	汽油
鳴る	なる	響、鳴
しっかり	しっかり	牢固地、確實地
生きる	いきる	活、生存
苦い	にがい	苦的
沸く	わく	（水）燒開、沸騰
意見	いけん	意見
やはり; やっぱり	やはり; やっぱり	果然、還是
漫画	まんが	漫畫
ステレオ	ステレオ	音響
医学	いがく	醫學
テキスト	テキスト	課本、教材
～月	～つき	～個月
折る	おる	折斷；折
～会	～かい	～會
うかがう	うかがう	請教、打聽（謙讓語）
聞こえる	きこえる	聽得見
僕	ぼく	我（男性用）
必ず	かならず	一定
壊す	こわす	弄壞
怒る	おこる	生氣；罵
床屋	とこや	理髮店
オートバイ	オートバイ	摩托車
運動	うんどうする	運動
止む	やむ	停止（雨等）
もし	もし	如果
表	おもて	表面；正面；外面
大学生	だいがくせい	大學生
運転手	うんてんしゅ	司機
予習	よしゅう	預習
心配	しんぱいする	擔心
別	べつ	別的、另外
非常に	ひじょうに	非常
お宅	おたく	府上、貴府
柔らかい	やわらかい	柔軟的
拾う	ひろう	撿
～ございます	～ございます	是、有（非常禮貌）
気	き	心情、精神
比べる	くらべる	比較
ほとんど	ほとんど	幾乎
つもり	つもり	打算
郊外	こうがい	郊外
だめ	だめ	不行、沒用
売り場	うりば	賣場、櫃位
正月	しょうがつ	新年、正月
規則	きそく	規則
うん	うん	嗯（口語的「是」）
発音	はつおん	發音
焼く	やく	烤、燒
屋上	おくじょう	屋頂、頂樓
失礼	しつれい	失禮；不好意思
ごみ	ごみ	垃圾
アフリカ	アフリカ	非洲
点	てん	分數；點
一生懸命	いっしょうけんめい	拚命、努力
今度	こんど	這次；下次
機会	きかい	機會
建てる	たてる	建造
複雑	ふくざつ	複雜
彼	かれ	他；男朋友
いらっしゃる	いらっしゃる	「去、來、在」的尊敬語
布団	ふとん	被褥
大事	だいじ	重要的
贈り物	おくりもの	禮物
泥棒	どろぼう	小偷
～製	～せい	～製
注意	ちゅうい	注意、小心
台風	たいふう	颱風
日	ひ	太陽、陽光；日子
～軒	～けん	～間（房屋）
そう	そう	是嗎；是的
通る	とおる	通過、經過
過ぎる	すぎる	經過；超過
レポート; リポート	レポート; リポート	報告
葉	は	葉子
必要	ひつよう	必要
課長	かちょう	課長
地震	じしん	地震
すると	すると	於是、結果
止める	やめる	停止、放棄
ガラス	ガラス	玻璃
～学部	～がくぶ	～學系、～學院
厳しい	きびしい	嚴格的
エスカレーター	エスカレーター	手扶梯
人口	じんこう	人口
月	つき	月亮
絹	きぬ	絲綢
ちっとも	ちっとも	一點也（不）
深い	ふかい	深的
壊れる	こわれる	壞掉
揺れる	ゆれる	搖晃
落る	おちる	掉落
できるだけ	できるだけ	盡量
悲しい	かなしい	悲傷的
中学校	ちゅうがっこう	國中
ガス	ガス	瓦斯
祈る	いのる	祈禱
盛ん	さかん	興盛、熱烈
アルバイト	アルバイト	打工
起こす	おこす	叫醒；引起
致す	いたす	做（「する」的謙讓語）
噛む	かむ	咬、嚼
赤ちゃん	あかちゃん	嬰兒
浅い	あさい	淺的
嘘	うそ	謊言
小説	しょうせつ	小說
親	おや	父母、雙親
それに	それに	而且、再加上
西洋	せいよう	西洋、西方
思う	おもう	想、覺得
パート (タイム)	パート (タイム)	兼職、打工
時代	じだい	時代
申し上げる	もうしあげる	說（「言う」的謙讓語）
～式	～しき	～典禮；～式
出席	しゅっせきする	出席
～家	～か	～家（專家）
迎える	むかえる	迎接
触る	さわる	摸、觸碰
建て	～だて	～層樓（建築）
社長	しゃちょう	社長、總經理
動物園	どうぶつえん	動物園
捕まえる	つかまえる	抓住、逮捕
季節	きせつ	季節
寄る	よる	順路去、順便拜訪
決まる	きまる	決定（自動詞）
開く	ひらく	打開；舉辦
逃げる	にげる	逃跑
だから	だから	所以
残念	ざんねん	可惜、遺憾
畳	たたみ	榻榻米
丁寧	ていねい	有禮貌的；仔細的
地理	ちり	地理
さっき	さっき	剛才
怖い	こわい	可怕的
包む	つつむ	包、包裝
なるべく	なるべく	盡可能
無理	むり	勉強、不可能
サンドイッチ	サンドイッチ	三明治
会議室	かいぎしつ	會議室
品物	しなもの	物品、商品
人形	にんぎょう	人偶、娃娃
利用	りよう	利用
飾る	かざる	裝飾
止める	とめる	停下（他動詞）
恥ずかしい	はずかしい	害羞的、丟臉的
いくら～ても	いくら～ても	無論多麼～也
用事	ようじ	事情、要辦的事
ビル	ビル	大樓
けんかする	けんかする	吵架
頑張る	がんばる	努力、加油
投げる	なげる	丟、投
故障	こしょうする	故障
力	ちから	力量
受ける	うける	接受；參加（考試）
気分	きぶん	心情；身體狀況
間違える	まちがえる	弄錯
そんな	そんな	那樣的
星	ほし	星星
場合	ばあい	情況、場合
やっと	やっと	終於
足りる	たりる	足夠
行う	おこなう	舉行、進行
ぶどう	ぶどう	葡萄
無くなる	なくなる	不見、用完
準備	じゅんびする	準備
世界	せかい	世界
住所	じゅうしょ	地址
再来月	さらいげつ	下下個月
林	はやし	樹林
倍	ばい	倍
痩せる	やせる	變瘦
線	せん	線
戦争	せんそう	戰爭
決める	きめる	決定（他動詞）
調べる	しらべる	查、調查
寝坊	ねぼう	睡過頭
パパ	パパ	爸爸
光る	ひかる	發光、閃耀
夫	おっと	丈夫
雲	くも	雲
坂	さか	坡道
～(て) しまう	～(て) しまう	（不小心）～了、～完
飛行場	ひこうじょう	機場
柔道	じゅうどう	柔道
決して	けっして	絕對（不）
事務所	じむしょ	辦公室、事務所
連絡	れんらく	聯絡
小学校	しょうがっこう	小學
客	きゃく	客人
昔	むかし	以前、從前
美しい	うつくしい	美麗的
捨てる	すてる	丟掉
なさる	なさる	做（「する」的尊敬語）
事	こと	事情
どんどん	どんどん	接連不斷地、順利地
試合	しあい	比賽
適当	てきとう	適當的；隨便
素晴らしい	すばらしい	很棒的
美術館	びじゅつかん	美術館
文法	ぶんぽう	文法
終わり	おわり	結束、終點
壁	かべ	牆壁
一度	いちど	一次
お礼	おれい	道謝；謝禮
親切	しんせつ	親切
知らせる	しらせる	通知
歯医者	はいしゃ	牙醫
熱心	ねっしん	熱心
始める	はじめる	開始（他動詞）
もらう	もらう	得到、收到
泣く	なく	哭
治る	なおる	（病）治好、痊癒
熱	ねつ	發燒；熱度
お祭り	おまつり	祭典
水道	すいどう	自來水
匂い	におい	氣味
ベル	ベル	鈴
赤ん坊	あかんぼう	嬰兒
おかしい	おかしい	奇怪的；好笑的
事故	じこ	事故
変	へん	奇怪的
辞典	じてん	辭典
残る	のこる	剩下、留下
立てる	たてる	立起、豎起
くれる	くれる	（別人）給我
～員	～いん	～員
原因	げんいん	原因
驚く	おどろく	吃驚
いただく	頂く	吃、喝（謙讓語）；領受
祖母	そぼ	祖母、外婆
場所	ばしょ	場所、地點
答	こたえ	答案、回答
もちろん	もちろん	當然
漬ける	つける	浸泡；醃漬
受付	うけつけ	櫃台、接待處
内	うち	裡面、之內
スクリーン	スクリーン	螢幕、銀幕
増える	ふえる	增加
または	または	或者
けがする	けがする	受傷
以下	いか	以下
選ぶ	えらぶ	選擇
～ばかり	～ばかり	剛～；只～
心	こころ	心
～だす	～だす	開始～、～起來
サラダ	サラダ	沙拉
届ける	とどける	送到、遞送
挨拶	あいさつする	打招呼
景色	けしき	景色
確か	たしか	確實的；（記得）好像是
ステーキ	ステーキ	牛排
食料品	しょくりょうひん	食品
森	もり	森林
以内	いない	以內
予定	よてい	預定、計畫
オーバー	オーバー	大衣；超過；誇張
乾く	かわく	乾
石	いし	石頭
思い出す	おもいだす	想起
踊る	おどる	跳舞
