# JLPT N5 單字 繁體中文解釋（AI 翻譯，依日文與 tanos 英文解釋）
# 格式：單字<TAB>讀音<TAB>中文。單字和讀音要和 jamsinclair/n5.csv 完全一致；讀音留空代表跟單字一樣。
ああ	ああ	啊！、哦！
会う	あう	見面、遇到
青	あお	藍色、青色
青い	あおい	藍色的、青色的
赤	あか	紅色
赤い	あかい	紅色的
明るい	あかるい	明亮的；開朗的
秋	あき	秋天
開く	あく	開、打開（自動詞）
開ける	あける	打開（他動詞）
上げる	あげる	舉起、抬高
朝	あさ	早上
朝御飯	あさごはん	早餐
明後日	あさって	後天
足; 脚	あし	腳、腿
明日	あした	明天
あそこ	あそこ	那裡
遊ぶ	あそぶ	玩、遊玩
暖かい	あたたかい	溫暖的
頭	あたま	頭
新しい	あたらしい	新的
あちら	あちら	那邊（禮貌說法）
暑い	あつい	（天氣）熱的
熱い	あつい	（物體）燙的、熱的
厚い	あつい	厚的；深厚的
あっち	あっち	那邊
後	あと	之後、以後；剩下的
あなた	あなた	你
兄	あに	（我的）哥哥
姉	あね	（我的）姊姊
アパート	アパート	公寓
あの	あの	那個（遠處的）；那個…（猶豫時）
浴びる	あびる	淋浴、沖（澡）
危ない	あぶない	危險的
甘い	あまい	甜的；寬容的
余り	あまり	（不）太…；剩餘
雨	あめ	雨
飴	あめ	糖果
洗う	あらう	洗
在る	ある	在、有（無生命）
有る	ある	有、擁有
歩く	あるく	走路
あれ	あれ	那個（遠處的）
いい; よい	いい; よい	好的
いいえ	いいえ	不、不是
言う	いう	說
家	いえ	房子、家
いかが	いかが	如何、怎麼樣（禮貌說法）
行く	いく; ゆく	去
いくつ	いくつ	幾個；幾歲
いくら	いくら	多少錢；多少
池	いけ	池塘
医者	いしゃ	醫生
椅子	いす	椅子
忙しい	いそがしい	忙碌的
痛い	いたい	痛的
一	いち	一
一日	いちにち	一天（期間）
一番	いちばん	最、第一
いつ	いつ	什麼時候
五日	いつか	五天；（每月）五日
一緒	いっしょ	一起
五つ	いつつ	五個
いつも	いつも	總是、平常
犬	いぬ	狗
今	いま	現在
意味	いみ	意思、意義
妹	いもうと	妹妹
嫌	いや	討厭、不願意
入口	いりぐち	入口
居る	いる	在、有（有生命）
要る	いる	需要
入れる	いれる	放進、裝入
色	いろ	顏色
色々	いろいろ	各式各樣
上	うえ	上面
後ろ	うしろ	後面
薄い	うすい	薄的；淡的
歌	うた	歌
歌う	うたう	唱歌
うち	うち	家；我家
生まれる	うまれる	出生
海	うみ	海
売る	うる	賣
うるさい	うるさい	吵鬧的；煩人的
上着	うわぎ	外套、上衣
絵	え	畫
映画	えいが	電影
映画館	えいがかん	電影院
英語	えいご	英語
ええ	ええ	是、嗯
駅	えき	車站
エレベーター	エレベーター	電梯
～円	～えん	～日圓
鉛筆	えんぴつ	鉛筆
お～	お～	（加在字前表示尊敬或禮貌）
美味しい	おいしい	好吃的
多い	おおい	多的
大きい	おおきい	大的
大きな	おおきな	大的
大勢	おおぜい	很多人
お母さん	おかあさん	媽媽、母親（尊稱）
お菓子	おかし	點心、零食
お金	おかね	錢
起きる	おきる	起床；發生
置く	おく	放、放置
奥さん	おくさん	（別人的）太太
お酒	おさけ	酒；日本酒
お皿	おさら	盤子
伯父; 叔父さん	おじさん	叔叔、伯伯；中年男子
おじいさん	おじいさん	爺爺；老先生
教える	おしえる	教；告訴
押す	おす	推、按
遅い	おそい	慢的；晚的
お茶	おちゃ	茶（綠茶）
お手洗い	おてあらい	洗手間
お父さん	おとうさん	爸爸、父親（尊稱）
弟	おとうと	弟弟
男	おとこ	男人、男性
男の子	おとこのこ	男孩
一昨日	おととい	前天
おととし	おととし	前年
大人	おとな	大人、成人
お腹	おなか	肚子
同じ	おなじ	相同的
お兄さん	おにいさん	哥哥（尊稱）
お姉さん	おねえさん	姊姊（尊稱）
伯母さん; 叔母さん	おばさん	阿姨、姑姑、伯母
おばあさん	おばあさん	奶奶；老太太
お風呂	おふろ	浴缸、洗澡
お弁当	おべんとう	便當
覚える	おぼえる	記住、學會
おまわりさん	おまわりさん	警察先生（親切的叫法）
重い	おもい	重的；嚴重的
面白い	おもしろい	有趣的
泳ぐ	およぐ	游泳
降りる	おりる	下（車）
終る	おわる	結束
音楽	おんがく	音樂
女	おんな	女人、女性
女の子	おんなのこ	女孩
～回	～かい	～次（次數）
～階	～かい	～樓（樓層）
外国	がいこく	外國
外国人	がいこくじん	外國人
会社	かいしゃ	公司
階段	かいだん	樓梯
買い物	かいもの	購物、買東西
買う	かう	買
返す	かえす	歸還
帰る	かえる	回去、回家
顔	かお	臉
かかる	かかる	花費（時間、金錢）
鍵	かぎ	鑰匙；鎖
書く	かく	寫
学生	がくせい	學生
～か月	～かげつ	～個月
掛ける	かける	戴（眼鏡）；掛
かける	かける	打（電話）；坐下
傘	かさ	傘
貸す	かす	借出、借給
風	かぜ	風
風邪	かぜ	感冒
方	かた	位（「人」的敬稱）；…的方法
家族	かぞく	家人、家族
片仮名	かたかな	片假名
～月	～がつ	～月（月份）
学校	がっこう	學校
カップ	カップ	杯子
家庭	かてい	家庭
角	かど	角、轉角
かばん	かばん	包包、書包
花瓶	かびん	花瓶
かぶる	かぶる	戴（帽子）
紙	かみ	紙
カメラ	カメラ	相機
火曜日	かようび	星期二
辛い	からい	辣的；鹹的
体	からだ	身體
借りる	かりる	借入、向人借
～がる	～がる	（覺得）…的樣子
軽い	かるい	輕的；輕微的
カレー	カレー	咖哩（飯）
カレンダー	カレンダー	月曆
川; 河	かわ	河川
～側	～がわ	～側、～邊
可愛い	かわいい	可愛的
漢字	かんじ	漢字
木	き	樹；木頭
黄色	きいろ	黃色
黄色い	きいろい	黃色的
消える	きえる	消失；熄滅
聞く	きく	聽；問
北	きた	北方
ギター	ギター	吉他
汚い	きたない	髒的
喫茶店	きっさてん	咖啡廳
切手	きって	郵票
切符	きっぷ	票、車票
昨日	きのう	昨天
九	きゅう	九
牛肉	ぎゅうにく	牛肉
牛乳	ぎゅうにゅう	牛奶
今日	きょう	今天
教室	きょうしつ	教室
兄弟	きょうだい	兄弟姊妹
去年	きょねん	去年
嫌い	きらい	討厭
切る	きる	切、剪；掛斷（電話）
着る	きる	穿（上半身衣物）
綺麗	きれい	漂亮的；乾淨的
キロ; キログラム	キロ; キログラム	公斤
キロ; キロメートル	キロ; キロメートル	公里
銀行	ぎんこう	銀行
金曜日	きんようび	星期五
九	く	九
薬	くすり	藥
下さい	ください	請（給我）；請（做…）
果物	くだもの	水果
口	くち	嘴巴；（工作的）缺
靴	くつ	鞋子
靴下	くつした	襪子
国	くに	國家；故鄉
曇り	くもり	陰天
曇る	くもる	變陰、轉陰
暗い	くらい	暗的；陰沉的
～くらい; ぐらい	～くらい; ぐらい	大約～、～左右
クラス	クラス	班級
グラム	グラム	公克
来る	くる	來
車	くるま	車子
黒	くろ	黑色
黒い	くろい	黑色的；暗的
警官	けいかん	警察
今朝	けさ	今天早上
消す	けす	擦掉；關掉（電源）
結構	けっこう	很好；足夠了、不用了
結婚	けっこん (する)	結婚
月曜日	げつようび	星期一
玄関	げんかん	玄關、門口
元気	げんき	健康、有精神
～個	～こ	～個（小東西）
五	ご	五
～語	～ご	～語（語言）
公園	こうえん	公園
交差点	こうさてん	十字路口
紅茶	こうちゃ	紅茶
交番	こうばん	派出所
声	こえ	聲音（人或動物）
コート	コート	外套；球場
コーヒー	コーヒー	咖啡
ここ	ここ	這裡
午後	ごご	下午
九日	ここのか	九天；（每月）九日
九つ	ここのつ	九個
午前	ごぜん	上午
答える	こたえる	回答
こちら	こちら	這位；這邊（禮貌說法）
こっち	こっち	這邊
コップ	コップ	玻璃杯
今年	ことし	今年
言葉	ことば	語言；話、詞語
子供	こども	小孩
この	この	這個
御飯	ごはん	米飯；餐
コピーする	コピーする	影印、複製
困る	こまる	困擾、為難
これ	これ	這個
～ころ; ～ごろ	～ころ; ～ごろ	～左右、～的時候
今月	こんげつ	這個月
今週	こんしゅう	這週
こんな	こんな	這樣的
今晩	こんばん	今晚
さあ	さあ	來吧；嗯…
～歳	～さい	～歲
財布	さいふ	錢包
魚	さかな	魚
先	さき	前面；先；之前
咲く	さく	（花）開
作文	さくぶん	作文
差す	さす	撐（傘）
～冊	～さつ	～本（書的量詞）
雑誌	ざっし	雜誌
砂糖	さとう	砂糖
寒い	さむい	（天氣）冷的
さ来年	さらいねん	後年
～さん	～さん	～先生、～小姐
三	さん	三
散歩	さんぽ (する)	散步
四	し	四
～時	～じ	～點（時間）
塩	しお	鹽
しかし	しかし	但是、然而
時間	じかん	時間
～時間	～じかん	～小時
仕事	しごと	工作
辞書	じしょ	字典
静か	しずか	安靜的
下	した	下面
七	しち	七
質問	しつもん	問題、提問
自転車	じてんしゃ	腳踏車
自動車	じどうしゃ	汽車
死ぬ	しぬ	死
字引	じびき	字典
自分	じぶん	自己
閉まる	しまる	關著、關上（自動詞）
閉める	しめる	關上（他動詞）
締める	しめる	繫緊、綁緊
じゃ; じゃあ	じゃ; じゃあ	那麼
写真	しゃしん	照片
シャツ	シャツ	襯衫
シャワー	シャワー	淋浴
十	じゅう	十
～中	～じゅう	整個～、～之中
～週間	～しゅうかん	～週
授業	じゅぎょう	上課、課程
宿題	しゅくだい	作業
上手	じょうず	擅長、厲害
丈夫	じょうぶ	堅固的；健壯的
醤油	しょうゆ	醬油
食堂	しょくどう	餐廳、食堂
知る	しる	知道
白	しろ	白色
白い	しろい	白色的
～人	～じん	～人（國籍）
新聞	しんぶん	報紙
水曜日	すいようび	星期三
吸う	すう	吸
スカート	スカート	裙子
好き	すき	喜歡
～すぎ	～すぎ	超過；太～
少ない	すくない	少的
すぐに	すぐに	馬上、立刻
少し	すこし	一點點
涼しい	すずしい	涼爽的
～ずつ	～ずつ	每次～、各～
ストーブ	ストーブ	暖爐
スプーン	スプーン	湯匙
スポーツ	スポーツ	運動
ズボン	ズボン	褲子
住む	すむ	住
する	する	做；戴（領帶、手錶等）
座る	すわる	坐
背	せい	身高
生徒	せいと	學生（中小學）
セーター	セーター	毛衣
石鹸	せっけん	肥皂
背広	せびろ	西裝
狭い	せまい	狹窄的
ゼロ	ゼロ	零
千	せん	千
先月	せんげつ	上個月
先週	せんしゅう	上週
先生	せんせい	老師；醫生
洗濯	せんたく	洗衣服
全部	ぜんぶ	全部
そう; そうです	そう; そうです	是的；是那樣
掃除	そうじ (する)	打掃
そうして; そして	そうして; そして	然後、而且
そこ	そこ	那裡；底部
そちら	そちら	那邊（禮貌說法）
そっち	そっち	那邊
外	そと	外面
その	その	那個
そば	そば	旁邊；蕎麥麵
空	そら	天空
それ	それ	那個
それから	それから	然後、之後
それでは	それでは	那麼
～台	～だい	～台（車輛、機器）
大学	だいがく	大學
大使館	たいしかん	大使館
大丈夫	だいじょうぶ	沒關係、沒問題
大好き	だいすき	非常喜歡
大切	たいせつ	重要的、珍惜
台所	だいどころ	廚房
大変	たいへん	非常；辛苦、糟糕
高い	たかい	高的；貴的
～だけ	～だけ	只有～
沢山	たくさん	很多
タクシー	タクシー	計程車
出す	だす	拿出；交出
～たち	～たち	～們
立つ	たつ	站
たて	たて	長度、縱向
建物	たてもの	建築物
楽しい	たのしい	開心的、快樂的
頼む	たのむ	拜託、請求
たばこ	たばこ	香菸
多分	たぶん	大概、也許
食べ物	たべもの	食物
食べる	たべる	吃
卵	たまご	蛋
誰	だれ	誰
誰か	だれか	某人
誕生日	たんじょうび	生日
段々	だんだん	漸漸地
小さい	ちいさい	小的
小さな	ちいさな	小的
近い	ちかい	近的
違う	ちがう	不同；錯了
近く	ちかく	附近
地下鉄	ちかてつ	地鐵、捷運
地図	ちず	地圖
父	ちち	（我的）爸爸
茶色	ちゃいろ	咖啡色、棕色
茶碗	ちゃわん	飯碗
